No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78382,2.149,8.783,6.456,3.246,3.938,2.462,458.8,524.8,621.7
78383,2.1377,8.79,6.941,3.3,3.771,2.51,458.5,525.8,621.3
78384,2.0269,8.969,7.062,3.166,4.001,2.5,457.7,524.6,621.2
78385,2.3064,8.787,7.001,3.3,3.543,2.552,459.5,526.3,621.4
78386,2.0936,8.762,7.023,3.318,3.532,2.569,457.7,525.3,621.8
78387,2.0484,8.542,7.162,3.205,3.74,2.59,457.5,525,621.3
78388,2.0875,8.479,7.093,3.249,3.6,2.618,457.7,524.1,621.1
78389,2.0047,8.79,7.1,3.206,3.979,2.56,457.6,524.1,621.2
78390,2.2946,8.902,7.05,3.327,3.805,2.608,460.6,525,621.4
78391,2.078,8.662,6.941,3.227,3.542,2.496,457.6,526.3,621.5
78392,2.1744,8.545,6.905,3.227,3.866,2.508,458.7,524.3,621.4
78393,1.9978,8.765,7.179,3.418,3.882,2.573,457.3,523.8,621.2
78394,2.0884,8.899,7.097,3.308,3.996,2.593,458,524.4,621.4
78395,2.019,8.705,7.12,3.443,3.829,2.576,457.5,523.8,621.3
78396,2.077,8.697,7,3.24,3.685,2.585,457.7,524.1,621.3
78397,2.1176,8.732,6.968,3.179,3.769,2.543,457.9,524,621.5
78398,2.1015,8.857,7.076,3.246,3.977,2.601,457.7,524.3,621.2
78399,2.1557,8.901,6.931,3.206,3.783,2.493,458.8,524.6,621.5
78400,2.218,8.711,7.178,3.328,3.807,2.456,459.7,524.1,621.2
78401,2.0823,8.805,7.077,3.196,3.714,2.52,457.7,524.5,621.2
78402,2.0305,8.617,7.042,3.337,3.504,2.514,457.6,525.3,621.4
78403,2.0763,8.586,6.994,3.44,3.766,2.495,457.8,524.6,621.4
78404,2.1001,8.814,7.1,3.272,3.687,2.63,457.8,524.5,621.1
78405,2.0531,8.771,7.078,3.303,3.712,2.48,457.4,524.7,621.2
78406,2.1022,8.733,7.113,3.238,3.794,2.549,458,524.2,621.2
78407,2.114,8.694,7.064,3.382,3.582,2.562,458.1,525.4,621.5
78408,2.2294,8.506,6.986,3.368,3.505,2.568,458.7,524.9,621.4
78409,2.038,8.939,7.134,3.212,3.736,2.586,457.7,526.2,621.3
78410,2.0733,8.572,6.974,3.377,3.594,2.458,457.8,524.1,621.6
78411,2.0503,9.029,6.979,3.322,3.854,2.437,457.4,526.2,621.3
78412,2.0588,9.061,7.014,3.171,3.855,2.642,457.5,526,621.2
78413,2.0788,8.733,7.113,3.131,3.552,2.542,457.6,525.5,621.1
